1782334057.03512,1839
1782334057.036478,1844
1782334057.036494,1814
1782334057.0379279,1805
1782334057.039309,1832
1782334057.0406349,1867
1782334057.0406451,1895
1782334057.041951,1880
1782334057.043256,1875
1782334057.04459,1853
1782334057.0446012,1832
1782334057.045957,1799
1782334057.047404,1839
1782334057.0485928,1868
1782334057.049313,1867
1782334057.049365,1815
1782334057.050654,1823
1782334057.051948,1838
1782334057.053227,1865
1782334057.05456,1857
1782334057.054566,1851
1782334057.055845,1871
1782334057.057129,1892
1782334057.058418,1893
1782334057.0584252,1896
1782334057.0597272,1922
1782334057.06102,1916
1782334057.0623062,1916
1782334057.0635788,1807
1782334057.063583,1895
1782334057.0648692,1923
1782334057.066159,1920
1782334057.0673192,1875
1782334057.068597,1885
1782334057.068602,1875
1782334057.0698822,1827
1782334057.070976,1811
1782334057.0722508,1834
1782334057.073531,1866
1782334057.073537,1869
1782334057.07482,1862
1782334057.076101,1847
1782334057.077386,1878
1782334057.0773928,1871
1782334057.078818,1866
1782334057.0800982,1871
1782334057.081432,1864
1782334057.081441,1858
1782334057.08273,1830
1782334057.084016,1829
1782334057.085299,1839
1782334057.086588,1818
1782334057.086594,1799
1782334057.0879092,1820
1782334057.089203,1845
1782334057.090493,1807
1782334057.0905,1818
1782334057.091786,1812
1782334057.0930848,1811
1782334057.094365,1807
1782334057.094372,1812
1782334057.0956538,1832
1782334057.0969431,1857
1782334057.098227,1839
1782334057.099513,1821
1782334057.09952,1821
1782334057.100658,1823
1782334057.101942,1820
1782334057.1032262,1838
1782334057.10431,1848
1782334057.105589,1870
1782334057.105597,1867
1782334057.106882,1849
1782334057.108161,1862
1782334057.109429,1839
1782334057.1094332,1829
1782334057.110705,1834
1782334057.111984,1866
1782334057.1132858,1837
1782334057.114599,1826
1782334057.114607,1852
1782334057.1158788,1849
1782334057.1171541,1866
1782334057.118433,1881
1782334057.118439,1869
1782334057.11972,1875
1782334057.1210098,1877
1782334057.122292,1868
1782334057.123589,1877
1782334057.123595,1880
1782334057.124876,1880
1782334057.126154,1855
1782334057.127435,1864
1782334057.127442,1839
1782334057.128726,1839
1782334057.1300092,1846
1782334057.1312902,1824
1782334057.1325781,1823
1782334057.132586,1828
1782334057.1339478,1848
1782334057.135266,1839
1782334057.136547,1847
1782334057.136551,1866
1782334057.1378329,1874
1782334057.1393762,1854
1782334057.13939,1836
1782334057.140674,1827
1782334057.1419551,1807
1782334057.143239,1807
1782334057.144516,1803
1782334057.144521,1834
1782334057.145796,1870
1782334057.147066,1861
1782334057.148345,1853
1782334057.148351,1867
1782334057.148353,1846
1782334057.1496289,1812
1782334057.150896,1818
1782334057.152163,1839
1782334057.153433,1868
1782334057.1534379,1831
1782334057.1547148,1834
1782334057.155987,1820
1782334057.157258,1836
1782334057.158528,1849
1782334057.1585312,1809
1782334057.159796,1851
1782334057.161063,1871
1782334057.162327,1838
1782334057.163574,1782
1782334057.163578,1820
1782334057.164842,1815
1782334057.16611,1819
1782334057.1673741,1812
1782334057.1673758,1795
1782334057.168637,1803
1782334057.169903,1818
1782334057.171253,1838
1782334057.1725209,1839
1782334057.172523,1846
1782334057.173789,1828
1782334057.175052,1832
1782334057.176332,1857
1782334057.1776252,1852
1782334057.177631,1844
1782334057.1789172,1859
1782334057.180188,1881
1782334057.181472,1896
1782334057.181479,1897
1782334057.1827672,1891
1782334057.184055,1890
1782334057.185339,1899
1782334057.185359,1887
1782334057.186656,1869
1782334057.187944,1858
1782334057.189234,1862
1782334057.1905222,1879
1782334057.190528,1893
1782334057.191807,1884
1782334057.193093,1864
1782334057.194379,1882
1782334057.194386,1852
1782334057.1956701,1837
1782334057.196956,1832
1782334057.19824,1834
1782334057.199779,1828
1782334057.1997812,1867
1782334057.201044,1876
1782334057.202324,1875
1782334057.203608,1880
1782334057.204898,1854
1782334057.204905,1837
1782334057.206191,1832
1782334057.207479,1827
1782334057.207485,1819
1782334057.208771,1819
1782334057.2100532,1845
1782334057.2113569,1849
1782334057.211364,1871
1782334057.212644,1772
1782334057.21392,1803
1782334057.215203,1814
1782334057.21649,1807
1782334057.216497,1826
1782334057.217782,1844
1782334057.219073,1842
1782334057.220358,1818
1782334057.220365,1839
1782334057.2216508,1830
1782334057.222935,1798
1782334057.224222,1781
1782334057.225506,1804
1782334057.225512,1799
1782334057.226798,1837
1782334057.228085,1833
1782334057.229695,1850
1782334057.229698,1871
1782334057.230965,1882
1782334057.232235,1867
1782334057.233514,1885
1782334057.23352,1863
1782334057.2348,1852
1782334057.2360861,1828
1782334057.237369,1851
1782334057.237376,1881
1782334057.238643,1854
1782334057.239923,1835
1782334057.2412028,1831
1782334057.2424908,1832
1782334057.242497,1821
1782334057.243778,1834
1782334057.2450602,1806
1782334057.246349,1822
1782334057.246366,1827
1782334057.247638,1781
1782334057.248905,1792
1782334057.2501838,1822
1782334057.251468,1857
1782334057.251473,1828
1782334057.252758,1850
1782334057.254045,1864
1782334057.2553139,1867
1782334057.256593,1877
1782334057.2566001,1839
1782334057.2578838,1859
1782334057.2595131,1878
1782334057.2595189,1851
1782334057.260788,1857
1782334057.262057,1870
1782334057.26334,1806
1782334057.263357,1794
1782334057.264658,1822
1782334057.2659461,1839
1782334057.2672288,1874
1782334057.268513,1848
1782334057.268519,1876
1782334057.2697868,1855
1782334057.2710679,1848
1782334057.272352,1865
1782334057.272362,1835
1782334057.273643,1832
1782334057.2749262,1877
1782334057.2762082,1887
1782334057.27749,1880
1782334057.277496,1866
1782334057.277499,1860
1782334057.27878,1846
1782334057.280063,1826
1782334057.281346,1846
1782334057.281352,1842
1782334057.282631,1845
1782334057.283913,1841
1782334057.2851892,1839
1782334057.286474,1852
1782334057.286481,1871
1782334057.2877629,1858
1782334057.289036,1859
1782334057.290315,1866
1782334057.291863,1864
1782334057.291868,1844
1782334057.293138,1867
1782334057.2944288,1902
1782334057.294436,1875
1782334057.295726,1852
1782334057.297004,1860
1782334057.298284,1851
1782334057.299569,1848
1782334057.299576,1832
1782334057.300858,1848
1782334057.302131,1864
1782334057.303413,1849
1782334057.3034189,1853
1782334057.3047,1878
