timestamp	ch1	ch2	ch3
00:00:00.000	1.302564	1.314286	1.289377
00:00:00.001	1.294505	1.309890	1.313553
00:00:00.001	1.312088	1.319414	1.334799
00:00:00.002	1.312088	1.322344	1.304762
00:00:00.002	1.319414	1.318681	1.344322
00:00:00.002	1.320147	1.318681	1.354579
00:00:00.003	1.331868	1.325275	1.358974
00:00:00.003	1.316484	1.321612	1.329670
00:00:00.003	1.316484	1.314286	1.315018
00:00:00.006	1.331868	1.317216	1.336264
00:00:00.006	1.348718	1.325275	1.353114
00:00:00.006	1.319414	1.323077	1.320147
00:00:00.006	1.320147	1.326007	1.331136
00:00:00.006	1.305495	1.318681	1.315751
00:00:00.006	1.301099	1.315751	1.290842
00:00:00.007	1.312088	1.315018	1.311355
00:00:00.007	1.312088	1.327473	1.326740
00:00:00.007	1.306960	1.318681	1.315751
00:00:00.011	1.311355	1.323077	1.320147
00:00:00.011	1.307692	1.318681	1.312088
00:00:00.011	1.314286	1.320147	1.312821
00:00:00.011	1.326007	1.317216	1.306227
00:00:00.011	1.302564	1.310623	1.306960
00:00:00.011	1.308425	1.318681	1.315751
00:00:00.011	1.304762	1.317949	1.317216
00:00:00.011	1.309890	1.316484	1.317216
00:00:00.011	1.314286	1.320147	1.320879
00:00:00.011	1.311355	1.320147	1.322344
00:00:00.011	1.316484	1.319414	1.322344
00:00:00.011	1.316484	1.320147	1.324542
00:00:00.011	1.315018	1.318681	1.320147
00:00:00.012	1.315018	1.320879	1.323810
00:00:00.012	1.310623	1.317949	1.321612
00:00:00.012	1.312088	1.315018	1.309158
00:00:00.013	1.315018	1.325275	1.325275
00:00:00.013	1.310623	1.315751	1.319414
00:00:00.013	1.314286	1.323077	1.328938
00:00:00.014	1.317216	1.321612	1.323810
00:00:00.014	1.316484	1.319414	1.318681
00:00:00.014	1.307692	1.310623	1.322344
00:00:00.015	1.313553	1.317949	1.323810
00:00:00.015	1.316484	1.317949	1.316484
00:00:00.015	1.318681	1.326007	1.323077
00:00:00.016	1.317949	1.320147	1.312088
00:00:00.016	1.307692	1.312821	1.310623
00:00:00.017	1.320147	1.323810	1.319414
00:00:00.017	1.315018	1.320147	1.317216
00:00:00.017	1.321612	1.323077	1.328205
00:00:00.018	1.317949	1.321612	1.327473
00:00:00.018	1.325275	1.321612	1.331868
00:00:00.050	1.323810	1.316484	1.330403
00:00:00.051	1.301099	1.312088	1.325275
00:00:00.051	1.334799	1.320879	1.320879
00:00:00.051	1.365568	1.284982	1.303297
00:00:00.052	1.326740	1.257143	1.312088
00:00:00.052	1.258608	1.275458	1.295238
00:00:00.052	1.251282	1.300366	1.305495
00:00:00.053	1.290842	1.320879	1.315751
00:00:00.053	1.293773	1.327473	1.314286
00:00:00.053	1.315018	1.356044	1.323810
00:00:00.054	1.304029	1.389011	1.322344
00:00:00.054	1.332601	1.397802	1.331136
00:00:00.054	1.344322	1.373626	1.331136
00:00:00.055	1.325275	1.325275	1.323077
00:00:00.055	1.265934	1.317949	1.323810
00:00:00.056	1.235165	1.309890	1.299634
00:00:00.056	1.312821	1.308425	1.301832
00:00:00.056	1.359707	1.326740	1.326740
00:00:00.057	1.358242	1.326007	1.321612
00:00:00.057	1.315018	1.309890	1.312088
00:00:00.057	1.309158	1.305495	1.309890
00:00:00.058	1.320147	1.285714	1.321612
00:00:00.058	1.375092	1.301099	1.326740
00:00:00.058	1.383883	1.316484	1.323077
00:00:00.059	1.241758	1.306227	1.316484
00:00:00.060	1.263004	1.289377	1.323810
00:00:00.060	1.305495	1.271795	1.320879
00:00:00.060	1.320879	1.300366	1.321612
00:00:00.060	1.334799	1.322344	1.302564
00:00:00.061	1.351648	1.323810	1.311355
00:00:00.061	1.362637	1.323077	1.330403
00:00:00.061	1.323810	1.278388	1.317949
00:00:00.062	1.312088	1.310623	1.322344
00:00:00.062	1.281319	1.357509	1.318681
00:00:00.062	1.250549	1.394872	1.315018
00:00:00.063	1.310623	1.381685	1.336264
00:00:00.063	1.345055	1.345788	1.314286
00:00:00.063	1.323810	1.309158	1.303297
00:00:00.064	1.293773	1.296703	1.309890
