timestamp	ch1	ch2	ch3
00:00:00.000	1.293040	1.345055	1.312821
00:00:00.000	1.304762	1.350183	1.308425
00:00:00.000	1.320879	1.355311	1.317216
00:00:00.000	1.325275	1.336264	1.306960
00:00:00.000	1.334066	1.304029	1.315018
00:00:00.001	1.345788	1.276923	1.312821
00:00:00.004	1.330403	1.284982	1.306227
00:00:00.004	1.315751	1.318681	1.312821
00:00:00.004	1.293773	1.319414	1.306227
00:00:00.004	1.316484	1.326740	1.318681
00:00:00.004	1.351648	1.339194	1.320879
00:00:00.004	1.345788	1.289377	1.313553
00:00:00.004	1.323077	1.302564	1.318681
00:00:00.004	1.285714	1.300366	1.304762
00:00:00.004	1.290110	1.312821	1.306227
00:00:00.004	1.295238	1.346520	1.309158
00:00:00.005	1.304029	1.378755	1.310623
00:00:00.005	1.298901	1.367766	1.288645
00:00:00.005	1.292308	1.339194	1.293040
00:00:00.006	1.317216	1.327473	1.310623
00:00:00.006	1.320879	1.297436	1.307692
00:00:00.006	1.327473	1.268132	1.308425
00:00:00.007	1.331868	1.239560	1.309890
00:00:00.007	1.334066	1.257143	1.319414
00:00:00.007	1.317949	1.295971	1.307692
00:00:00.008	1.331136	1.370696	1.318681
00:00:00.008	1.334066	1.382418	1.312088
00:00:00.009	1.331868	1.384615	1.315018
00:00:00.009	1.332601	1.356777	1.315751
00:00:00.009	1.333333	1.329670	1.312821
00:00:00.010	1.323810	1.312821	1.312088
00:00:00.010	1.294505	1.260073	1.302564
00:00:00.010	1.301832	1.235165	1.307692
00:00:00.011	1.287912	1.197802	1.298901
00:00:00.011	1.296703	1.294505	1.306227
00:00:00.011	1.316484	1.336264	1.305495
00:00:00.012	1.309890	1.291575	1.314286
00:00:00.012	1.298901	1.279121	1.306227
00:00:00.013	1.306960	1.267399	1.304029
00:00:00.013	1.320879	1.295238	1.298901
00:00:00.013	1.336264	1.345788	1.317949
00:00:00.014	1.341392	1.400733	1.312821
00:00:00.014	1.329670	1.413187	1.314286
00:00:00.014	1.326007	1.360440	1.309158
00:00:00.015	1.306960	1.319414	1.293773
00:00:00.015	1.317949	1.342125	1.312821
00:00:00.015	1.304029	1.331136	1.309890
00:00:00.016	1.307692	1.249817	1.304762
00:00:00.016	1.316484	1.236630	1.300366
00:00:00.016	1.314286	1.282051	1.309158
00:00:00.049	1.315751	1.284982	1.309890
00:00:00.049	1.298168	1.231502	1.300366
00:00:00.049	1.284982	1.259341	1.292308
00:00:00.050	1.274725	1.287912	1.313553
00:00:00.050	1.294505	1.304029	1.304762
00:00:00.050	1.327473	1.330403	1.316484
00:00:00.051	1.335531	1.339927	1.309158
00:00:00.051	1.352381	1.353846	1.315018
00:00:00.052	1.365568	1.350916	1.321612
00:00:00.052	1.372894	1.380220	1.321612
00:00:00.052	1.357509	1.408791	1.318681
00:00:00.053	1.309890	1.375092	1.307692
00:00:00.053	1.257143	1.342125	1.309890
00:00:00.053	1.253480	1.318681	1.302564
00:00:00.054	1.295238	1.315018	1.293773
00:00:00.054	1.331868	1.280586	1.279121
00:00:00.054	1.333333	1.293040	1.284982
00:00:00.055	1.326007	1.287912	1.312088
00:00:00.055	1.327473	1.306227	1.315751
00:00:00.055	1.334066	1.326007	1.318681
00:00:00.056	1.320879	1.313553	1.309158
00:00:00.056	1.317216	1.315018	1.306227
00:00:00.057	1.310623	1.293040	1.303297
00:00:00.057	1.314286	1.263736	1.291575
00:00:00.057	1.295238	1.246154	1.281319
00:00:00.058	1.325275	1.290110	1.335531
00:00:00.058	1.306227	1.313553	1.348718
00:00:00.058	1.299634	1.350183	1.329670
00:00:00.059	1.302564	1.371429	1.320879
00:00:00.059	1.303297	1.336996	1.321612
00:00:00.059	1.296703	1.365568	1.306227
00:00:00.060	1.320147	1.391209	1.321612
00:00:00.060	1.326740	1.388278	1.284982
00:00:00.060	1.331868	1.377289	1.296703
00:00:00.063	1.323810	1.340659	1.306960
00:00:00.063	1.326740	1.343590	1.300366
00:00:00.063	1.310623	1.315751	1.293040
00:00:00.063	1.329670	1.282051	1.311355
00:00:00.063	1.316484	1.254945	1.308425
00:00:00.063	1.323810	1.247619	1.317216
00:00:00.063	1.317949	1.185348	1.303297
00:00:00.063	1.307692	1.161172	1.300366
00:00:00.064	1.325275	1.257143	1.301832
00:00:00.064	1.306227	1.328205	1.298168
00:00:00.064	1.315751	1.364835	1.302564
00:00:00.067	1.304029	1.347985	1.298901
00:00:00.067	1.312088	1.345055	1.311355
00:00:00.067	1.311355	1.332601	1.309890
00:00:00.067	1.304029	1.323810	1.330403
00:00:00.067	1.312821	1.325275	1.331868
00:00:00.101	1.303297	1.325275	1.345055
00:00:00.101	1.298168	1.328205	1.328938
00:00:00.101	1.300366	1.320147	1.307692
00:00:00.101	1.306227	1.304762	1.292308
00:00:00.101	1.314286	1.302564	1.293040
00:00:00.101	1.313553	1.306960	1.317216
00:00:00.101	1.323810	1.340659	1.288645
00:00:00.101	1.320879	1.338462	1.216850
00:00:00.101	1.369231	1.333333	1.339194
00:00:00.102	1.365568	1.322344	1.312088
00:00:00.102	1.344322	1.316484	1.327473
00:00:00.102	1.329670	1.311355	1.336996
00:00:00.103	1.306960	1.310623	1.336264
00:00:00.103	1.287179	1.312821	1.331136
00:00:00.103	1.260073	1.309890	1.265201
00:00:00.104	1.267399	1.301832	1.208791
