timestamp	ch1	ch2	ch3
00:00:00.000	1.315751	1.312821	1.305495
00:00:00.001	1.306227	1.316484	1.293040
00:00:00.001	1.315018	1.329670	1.298168
00:00:00.002	1.315018	1.329670	1.295238
00:00:00.002	1.309158	1.325275	1.298168
00:00:00.002	1.310623	1.345788	1.304029
00:00:00.003	1.305495	1.334066	1.291575
00:00:00.003	1.305495	1.315751	1.303297
00:00:00.003	1.306227	1.296703	1.311355
00:00:00.004	1.296703	1.273260	1.295238
00:00:00.004	1.303297	1.274725	1.312088
00:00:00.004	1.309890	1.270330	1.306227
00:00:00.005	1.302564	1.270330	1.295238
00:00:00.005	1.318681	1.282784	1.309158
00:00:00.006	1.312821	1.284249	1.306960
00:00:00.006	1.303297	1.287912	1.297436
00:00:00.006	1.320879	1.320147	1.305495
00:00:00.007	1.310623	1.317949	1.296703
00:00:00.007	1.312088	1.326007	1.304029
00:00:00.007	1.312821	1.320147	1.300366
00:00:00.008	1.310623	1.315751	1.300366
00:00:00.008	1.309890	1.318681	1.298168
00:00:00.008	1.313553	1.345788	1.300366
00:00:00.009	1.316484	1.346520	1.309158
00:00:00.009	1.320879	1.329670	1.309158
00:00:00.041	1.311355	1.310623	1.304029
00:00:00.042	1.311355	1.295238	1.303297
00:00:00.042	1.311355	1.291575	1.314286
00:00:00.042	1.307692	1.276923	1.302564
00:00:00.043	1.305495	1.276190	1.319414
00:00:00.043	1.299634	1.265201	1.309890
00:00:00.043	1.300366	1.275458	1.300366
00:00:00.044	1.296703	1.298168	1.304029
00:00:00.044	1.305495	1.306960	1.299634
00:00:00.044	1.311355	1.300366	1.290110
00:00:00.045	1.318681	1.319414	1.295238
00:00:00.045	1.320879	1.328205	1.300366
00:00:00.046	1.306227	1.325275	1.300366
00:00:00.046	1.308425	1.325275	1.301832
00:00:00.046	1.306960	1.321612	1.295238
00:00:00.047	1.314286	1.306960	1.308425
00:00:00.047	1.315018	1.315751	1.309890
00:00:00.047	1.304762	1.313553	1.302564
00:00:00.048	1.307692	1.296703	1.304029
00:00:00.048	1.309158	1.308425	1.319414
00:00:00.049	1.310623	1.303297	1.314286
00:00:00.049	1.301099	1.289377	1.304762
00:00:00.049	1.305495	1.284982	1.308425
00:00:00.049	1.309158	1.287912	1.300366
00:00:00.050	1.309158	1.293040	1.297436
00:00:00.050	1.309158	1.307692	1.302564
00:00:00.051	1.312821	1.306960	1.295971
00:00:00.051	1.302564	1.296703	1.294505
00:00:00.051	1.313553	1.310623	1.303297
00:00:00.052	1.317216	1.313553	1.306227
00:00:00.052	1.312088	1.308425	1.304029
00:00:00.052	1.308425	1.295971	1.300366
00:00:00.053	1.309890	1.295238	1.299634
00:00:00.053	1.294505	1.287912	1.293773
00:00:00.053	1.308425	1.302564	1.306227
00:00:00.054	1.315018	1.305495	1.312088
00:00:00.054	1.295971	1.290110	1.298168
00:00:00.054	1.306227	1.306960	1.312821
00:00:00.055	1.306960	1.320879	1.311355
00:00:00.055	1.300366	1.324542	1.306227
00:00:00.056	1.312088	1.320879	1.307692
00:00:00.056	1.317216	1.304029	1.300366
00:00:00.056	1.315751	1.285714	1.289377
00:00:00.059	1.322344	1.315751	1.304762
00:00:00.059	1.304762	1.310623	1.298901
00:00:00.059	1.309158	1.317216	1.293040
