timestamp	ch1	ch2	ch3
00:00:00.000	1.305495	1.261538	1.306960
00:00:00.000	1.306227	1.292308	1.300366
00:00:00.000	1.320147	1.446154	1.318681
00:00:00.001	1.317949	1.449817	1.312088
00:00:00.001	1.322344	1.350183	1.319414
00:00:00.001	1.323810	1.242491	1.318681
00:00:00.002	1.313553	1.226374	1.312088
00:00:00.002	1.316484	1.275458	1.310623
00:00:00.002	1.322344	1.306960	1.312821
00:00:00.035	1.316484	1.303297	1.303297
00:00:00.035	1.308425	1.321612	1.305495
00:00:00.035	1.319414	1.347253	1.306227
00:00:00.036	1.323077	1.329670	1.306227
00:00:00.036	1.315018	1.276923	1.306227
00:00:00.036	1.319414	1.268864	1.305495
00:00:00.037	1.315751	1.256410	1.290110
00:00:00.037	1.318681	1.289377	1.307692
00:00:00.037	1.315751	1.287912	1.296703
00:00:00.038	1.327473	1.273993	1.314286
00:00:00.038	1.312821	1.279121	1.300366
00:00:00.039	1.312088	1.323810	1.300366
00:00:00.039	1.316484	1.334066	1.299634
00:00:00.039	1.317949	1.342857	1.300366
00:00:00.040	1.301832	1.334066	1.300366
00:00:00.040	1.317216	1.350183	1.312088
00:00:00.040	1.312088	1.342857	1.302564
00:00:00.041	1.315018	1.346520	1.312821
00:00:00.041	1.310623	1.336264	1.312821
00:00:00.041	1.302564	1.350916	1.310623
00:00:00.042	1.310623	1.334799	1.303297
00:00:00.042	1.319414	1.329670	1.314286
00:00:00.042	1.311355	1.365568	1.315751
00:00:00.043	1.304029	1.358242	1.311355
00:00:00.043	1.318681	1.316484	1.309890
00:00:00.044	1.317216	1.257143	1.312088
00:00:00.044	1.314286	1.220513	1.308425
00:00:00.044	1.320147	1.221978	1.300366
00:00:00.045	1.323810	1.268864	1.304762
00:00:00.045	1.320879	1.295238	1.306960
00:00:00.045	1.309158	1.280586	1.295238
00:00:00.046	1.319414	1.312088	1.300366
00:00:00.046	1.316484	1.327473	1.311355
00:00:00.046	1.312088	1.334799	1.314286
00:00:00.048	1.307692	1.340659	1.306960
00:00:00.048	1.326007	1.358242	1.320879
00:00:00.048	1.320879	1.336264	1.306960
00:00:00.048	1.316484	1.334066	1.315751
00:00:00.048	1.322344	1.344322	1.312821
00:00:00.049	1.311355	1.336264	1.304762
00:00:00.049	1.319414	1.330403	1.317216
00:00:00.049	1.319414	1.287179	1.310623
00:00:00.050	1.309890	1.284249	1.304029
00:00:00.050	1.317216	1.307692	1.309158
00:00:00.050	1.296703	1.290110	1.298901
00:00:00.051	1.291575	1.260073	1.295238
00:00:00.051	1.297436	1.265201	1.297436
00:00:00.051	1.300366	1.315751	1.306960
00:00:00.052	1.306960	1.339927	1.317216
00:00:00.052	1.291575	1.330403	1.304029
00:00:00.084	1.313553	1.330403	1.297436
00:00:00.085	1.320879	1.327473	1.304762
00:00:00.085	1.326740	1.322344	1.312821
00:00:00.085	1.325275	1.328205	1.312088
00:00:00.086	1.328205	1.330403	1.317949
00:00:00.086	1.323810	1.327473	1.312088
00:00:00.086	1.328205	1.325275	1.302564
00:00:00.087	1.323810	1.337729	1.306960
00:00:00.087	1.317216	1.324542	1.309158
00:00:00.088	1.312088	1.347253	1.309890
00:00:00.088	1.305495	1.339194	1.303297
00:00:00.088	1.320147	1.339194	1.307692
00:00:00.090	1.319414	1.321612	1.315018
00:00:00.090	1.303297	1.295971	1.304762
00:00:00.090	1.312088	1.293040	1.315018
00:00:00.092	1.309890	1.296703	1.314286
00:00:00.092	1.315751	1.284982	1.303297
00:00:00.092	1.315751	1.282051	1.310623
00:00:00.092	1.310623	1.260073	1.311355
00:00:00.092	1.315018	1.232967	1.320879
00:00:00.092	1.309890	1.230769	1.314286
00:00:00.092	1.318681	1.246886	1.312821
00:00:00.092	1.317216	1.315751	1.309890
00:00:00.095	1.326740	1.362637	1.315018
00:00:00.095	1.323810	1.368498	1.302564
00:00:00.095	1.326740	1.356044	1.307692
00:00:00.095	1.320879	1.339194	1.307692
00:00:00.095	1.314286	1.312821	1.301832
00:00:00.095	1.307692	1.282784	1.300366
00:00:00.095	1.323077	1.290842	1.306960
00:00:00.095	1.309158	1.353114	1.297436
00:00:00.095	1.315751	1.369963	1.307692
00:00:00.096	1.312088	1.352381	1.298168
00:00:00.096	1.303297	1.328938	1.307692
00:00:00.096	1.315018	1.324542	1.309158
00:00:00.097	1.319414	1.319414	1.313553
00:00:00.097	1.321612	1.323077	1.309158
00:00:00.098	1.309158	1.290842	1.294505
00:00:00.098	1.320147	1.289377	1.309158
00:00:00.098	1.315018	1.286447	1.311355
00:00:00.099	1.314286	1.300366	1.309158
00:00:00.100	1.313553	1.310623	1.300366
00:00:00.100	1.318681	1.320879	1.306960
00:00:00.100	1.317216	1.315018	1.312088
00:00:00.100	1.322344	1.306960	1.315018
00:00:00.100	1.314286	1.306227	1.311355
00:00:00.101	1.319414	1.320879	1.308425
00:00:00.101	1.309158	1.315018	1.309158
00:00:00.101	1.312821	1.318681	1.303297
00:00:00.102	1.313553	1.327473	1.309158
00:00:00.134	1.326007	1.326007	1.305495
00:00:00.134	1.312821	1.315018	1.305495
00:00:00.135	1.315018	1.319414	1.311355
00:00:00.135	1.300366	1.315751	1.309158
00:00:00.135	1.323810	1.330403	1.320879
00:00:00.136	1.315751	1.317216	1.311355
00:00:00.136	1.309890	1.317216	1.317216
00:00:00.137	1.315751	1.317216	1.311355
00:00:00.137	1.313553	1.325275	1.311355
00:00:00.137	1.306227	1.328205	1.314286
00:00:00.138	1.312088	1.317949	1.312821
00:00:00.138	1.312088	1.309158	1.302564
00:00:00.138	1.325275	1.335531	1.311355
00:00:00.139	1.319414	1.324542	1.290842
00:00:00.139	1.315018	1.309158	1.258608
00:00:00.139	1.323077	1.293773	1.268864
00:00:00.140	1.320879	1.298901	1.289377
00:00:00.140	1.311355	1.284982	1.314286
00:00:00.140	1.314286	1.289377	1.332601
00:00:00.141	1.316484	1.291575	1.340659
00:00:00.141	1.307692	1.299634	1.350183
00:00:00.142	1.326007	1.302564	1.352381
00:00:00.142	1.323810	1.309890	1.334799
00:00:00.142	1.323810	1.330403	1.333333
00:00:00.143	1.310623	1.309890	1.288645
00:00:00.143	1.309158	1.311355	1.287912
00:00:00.143	1.295971	1.298168	1.287912
00:00:00.144	1.310623	1.293040	1.297436
00:00:00.144	1.317949	1.301099	1.293040
00:00:00.144	1.304762	1.308425	1.300366
00:00:00.145	1.313553	1.334799	1.310623
00:00:00.145	1.312088	1.363370	1.306227
00:00:00.145	1.319414	1.374359	1.304762
00:00:00.146	1.325275	1.350916	1.305495
00:00:00.146	1.323810	1.312821	1.302564
00:00:00.147	1.316484	1.287912	1.298168
00:00:00.147	1.306960	1.254945	1.298168
00:00:00.147	1.306227	1.224908	1.301832
00:00:00.148	1.304029	1.235165	1.290842
00:00:00.148	1.312088	1.314286	1.313553
00:00:00.148	1.312821	1.343590	1.309158
00:00:00.149	1.306227	1.368498	1.299634
00:00:00.149	1.316484	1.363370	1.319414
00:00:00.149	1.314286	1.336264	1.315751
00:00:00.150	1.312821	1.366300	1.317216
00:00:00.150	1.317216	1.393407	1.305495
00:00:00.150	1.315751	1.375092	1.301832
00:00:00.151	1.319414	1.334799	1.312088
00:00:00.152	1.315018	1.319414	1.313553
00:00:00.152	1.319414	1.305495	1.310623
00:00:00.184	1.314286	1.257143	1.299634
00:00:00.184	1.310623	1.217582	1.304762
00:00:00.184	1.308425	1.159707	1.301832
00:00:00.186	1.317216	1.208059	1.303297
00:00:00.186	1.309158	1.204396	1.287912
00:00:00.187	1.319414	1.267399	1.305495
00:00:00.187	1.315751	1.334799	1.306227
00:00:00.187	1.315018	1.354579	1.304029
00:00:00.187	1.311355	1.359707	1.303297
00:00:00.188	1.312088	1.354579	1.300366
00:00:00.188	1.325275	1.357509	1.309158
00:00:00.188	1.319414	1.350916	1.308425
00:00:00.188	1.313553	1.338462	1.311355
00:00:00.188	1.323077	1.340659	1.317216
00:00:00.189	1.307692	1.335531	1.317216
00:00:00.189	1.313553	1.331136	1.323077
00:00:00.189	1.317216	1.330403	1.326740
00:00:00.192	1.312088	1.323077	1.322344
00:00:00.192	1.315018	1.323810	1.326740
00:00:00.192	1.315751	1.325275	1.316484
00:00:00.192	1.316484	1.336996	1.312088
00:00:00.192	1.323810	1.326007	1.308425
00:00:00.192	1.309158	1.315018	1.300366
00:00:00.192	1.315018	1.318681	1.305495
00:00:00.192	1.315751	1.312821	1.295971
00:00:00.194	1.310623	1.327473	1.300366
00:00:00.194	1.316484	1.346520	1.312088
00:00:00.194	1.321612	1.366300	1.312088
00:00:00.194	1.323810	1.401465	1.313553
